director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tags,movie_title_lower
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,The Chronicles Of Narnia: Prince Caspian,Action Adventure Family Fantasy the chronicles of narnia: prince caspian Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson,the chronicles of narnia: prince caspian
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,Pirates Of The Caribbean: On Stranger Tides,Action Adventure Fantasy pirates of the caribbean: on stranger tides Johnny Depp Sam Claflin Stephen Graham Rob Marshall,pirates of the caribbean: on stranger tides
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,Men In Black 3,Action Adventure Comedy Family Fantasy Sci-Fi men in black 3 Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld,men in black 3
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: The Battle Of The Five Armies,Adventure Fantasy the hobbit: the battle of the five armies Aidan Turner Adam Brown James Nesbitt Peter Jackson,the hobbit: the battle of the five armies
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,The Amazing Spider-Man,Action Adventure Fantasy the amazing spider-man Emma Stone Andrew Garfield Chris Zylka Marc Webb,the amazing spider-man
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,Robin Hood,Action Adventure Drama History robin hood Mark Addy William Hurt Scott Grimes Ridley Scott,robin hood
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: The Desolation Of Smaug,Adventure Fantasy the hobbit: the desolation of smaug Aidan Turner Adam Brown James Nesbitt Peter Jackson,the hobbit: the desolation of smaug
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,The Golden Compass,Adventure Family Fantasy the golden compass Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz,the golden compass
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,Titanic,Drama Romance titanic Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron,titanic
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,Captain America: Civil War,Action Adventure Sci-Fi captain america: civil war Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo,captain america: civil war
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,Battleship,Action Adventure Sci-Fi Thriller battleship Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg,battleship
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,Jurassic World,Action Adventure Sci-Fi Thriller jurassic world Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow,jurassic world
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,Spider-Man 2,Action Adventure Fantasy Romance spider-man 2 J.K. Simmons James Franco Kirsten Dunst Sam Raimi,spider-man 2
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,Iron Man 3,Action Adventure Sci-Fi iron man 3 Robert Downey Jr. Jon Favreau Don Cheadle Shane Black,iron man 3
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,X-Men: The Last Stand,Action Adventure Fantasy Sci-Fi Thriller x-men: the last stand Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner,x-men: the last stand
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,Monsters University,Adventure Animation Comedy Family Fantasy monsters university Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon,monsters university
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,Transformers: Revenge Of The Fallen,Action Adventure Sci-Fi transformers: revenge of the fallen Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay,transformers: revenge of the fallen
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,Transformers: Age Of Extinction,Action Adventure Sci-Fi transformers: age of extinction Bingbing Li Sophia Myles Kelsey Grammer Michael Bay,transformers: age of extinction
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,The Amazing Spider-Man 2,Action Adventure Fantasy Sci-Fi the amazing spider-man 2 Emma Stone Andrew Garfield B.J. Novak Marc Webb,the amazing spider-man 2
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,Cars 2,Adventure Animation Comedy Family Sport cars 2 Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter,cars 2
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,Green Lantern,Action Adventure Sci-Fi green lantern Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell,green lantern
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,Toy Story 3,Adventure Animation Comedy Family Fantasy toy story 3 Tom Hanks John Ratzenberger Don Rickles Lee Unkrich,toy story 3
McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,Terminator Salvation,Action Adventure Sci-Fi terminator salvation Christian Bale Bryce Dallas Howard Common McG,terminator salvation
James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,Furious 7,Action Crime Thriller furious 7 Jason Statham Paul Walker Vin Diesel James Wan,furious 7
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,World War Z,Action Adventure Horror Sci-Fi Thriller world war z Peter Capaldi Brad Pitt Mireille Enos Marc Forster,world war z
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,X-Men: Days Of Future Past,Action Adventure Fantasy Sci-Fi Thriller x-men: days of future past Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer,x-men: days of future past
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,Star Trek Into Darkness,Action Adventure Sci-Fi star trek into darkness Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams,star trek into darkness
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,Jack The Giant Slayer,Adventure Fantasy jack the giant slayer Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer,jack the giant slayer
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,Prince Of Persia: The Sands Of Time,Action Adventure Fantasy Romance prince of persia: the sands of time Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell,prince of persia: the sands of time
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,Pacific Rim,Action Adventure Sci-Fi pacific rim Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro,pacific rim
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,Transformers: Dark Of The Moon,Action Adventure Sci-Fi transformers: dark of the moon Glenn Morshower Lester Speight Kevin Dunn Michael Bay,transformers: dark of the moon
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,Indiana Jones And The Kingdom Of The Crystal Skull,Action Adventure Fantasy indiana jones and the kingdom of the crystal skull Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg,indiana jones and the kingdom of the crystal skull
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,The Good Dinosaur,Adventure Animation Comedy Family Fantasy the good dinosaur A.J. Buckley Jack McGraw Peter Sohn Peter Sohn,the good dinosaur
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,Brave,Adventure Animation Comedy Family Fantasy brave Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews,brave
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,Star Trek Beyond,Action Adventure Sci-Fi Thriller star trek beyond Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin,star trek beyond
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,Wall·E,Adventure Animation Family Sci-Fi wall·e John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton,wall·e
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,Rush Hour 3,Action Comedy Crime Thriller rush hour 3 Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner,rush hour 3
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,Action Adventure Sci-Fi 2012 Oliver Platt Liam James Tom McCarthy Roland Emmerich,2012
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,A Christmas Carol,Animation Drama Family Fantasy a christmas carol Robin Wright Colin Firth Gary Oldman Robert Zemeckis,a christmas carol
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,Jupiter Ascending,Action Adventure Sci-Fi jupiter ascending Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski,jupiter ascending
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"The Chronicles Of Narnia: The Lion, The Witch And The Wardrobe","Adventure Family Fantasy the chronicles of narnia: the lion, the witch and the wardrobe Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson","the chronicles of narnia: the lion, the witch and the wardrobe"
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,X-Men: Apocalypse,Action Adventure Sci-Fi x-men: apocalypse Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer,x-men: apocalypse
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,The Dark Knight,Action Crime Drama Thriller the dark knight Christian Bale Heath Ledger Morgan Freeman Christopher Nolan,the dark knight
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,Up,Adventure Animation Comedy Family up John Ratzenberger Delroy Lindo Jess Harnell Pete Docter,up
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,Monsters Vs. Aliens,Action Adventure Animation Comedy Family Sci-Fi monsters vs. aliens Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman,monsters vs. aliens
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,Iron Man,Action Adventure Sci-Fi iron man Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau,iron man
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,Hugo,Adventure Drama Family Mystery hugo Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese,hugo
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,Wild Wild West,Action Comedy Sci-Fi Western wild wild west Will Smith Salma Hayek Bai Ling Barry Sonnenfeld,wild wild west
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,The Mummy: Tomb Of The Dragon Emperor,Action Adventure Fantasy Horror Thriller the mummy: tomb of the dragon emperor Jet Li Brendan Fraser Russell Wong Rob Cohen,the mummy: tomb of the dragon emperor
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,Suicide Squad,Action Adventure Comedy Sci-Fi suicide squad Will Smith Robin Atkin Downes Ike Barinholtz David Ayer,suicide squad
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,Evan Almighty,Comedy Family Fantasy evan almighty Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac,evan almighty
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,Edge Of Tomorrow,Action Adventure Sci-Fi edge of tomorrow Tom Cruise Lara Pulver Noah Taylor Doug Liman,edge of tomorrow
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,Waterworld,Action Adventure Sci-Fi Thriller waterworld Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds,waterworld
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,G.I. Joe: The Rise Of Cobra,Action Adventure Sci-Fi Thriller g.i. joe: the rise of cobra Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers,g.i. joe: the rise of cobra
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,Inside Out,Adventure Animation Comedy Drama Family Fantasy inside out Amy Poehler Mindy Kaling Phyllis Smith Pete Docter,inside out
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,Iron Man 2,Action Adventure Sci-Fi iron man 2 Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau,iron man 2
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,Snow White And The Huntsman,Action Adventure Drama Fantasy snow white and the huntsman Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders,snow white and the huntsman
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,Maleficent,Action Adventure Family Fantasy Romance maleficent Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg,maleficent
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,Dawn Of The Planet Of The Apes,Action Adventure Drama Sci-Fi dawn of the planet of the apes Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves,dawn of the planet of the apes
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 Ronin,Action Adventure Drama Fantasy 47 ronin Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch,47 ronin
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,Captain America: The Winter Soldier,Action Adventure Sci-Fi captain america: the winter soldier Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo,captain america: the winter soldier
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,Shrek Forever After,Adventure Animation Comedy Family Fantasy shrek forever after Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell,shrek forever after
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,Tomorrowland,Action Adventure Family Mystery Sci-Fi tomorrowland Judy Greer Chris Bauer Thomas Robinson Brad Bird,tomorrowland
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,Big Hero 6,Action Adventure Animation Comedy Drama Family Sci-Fi big hero 6 Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall,big hero 6
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,Wreck-It Ralph,Adventure Animation Comedy Family Sci-Fi wreck-it ralph Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore,wreck-it ralph
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,The Polar Express,Adventure Animation Family Fantasy the polar express Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis,the polar express
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,Independence Day: Resurgence,Action Adventure Sci-Fi independence day: resurgence Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich,independence day: resurgence
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,How To Train Your Dragon,Adventure Animation Family Fantasy how to train your dragon Gerard Butler America Ferrera Craig Ferguson Dean DeBlois,how to train your dragon
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,Terminator 3: Rise Of The Machines,Action Sci-Fi terminator 3: rise of the machines Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow,terminator 3: rise of the machines
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,Guardians Of The Galaxy,Action Adventure Sci-Fi guardians of the galaxy Bradley Cooper Vin Diesel Djimon Hounsou James Gunn,guardians of the galaxy
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,Interstellar,Adventure Drama Sci-Fi interstellar Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan,interstellar
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,Inception,Action Adventure Sci-Fi Thriller inception Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan,inception
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: An Unexpected Journey,Adventure Fantasy the hobbit: an unexpected journey Aidan Turner Adam Brown James Nesbitt Peter Jackson,the hobbit: an unexpected journey
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,The Curious Case Of Benjamin Button,Drama Fantasy Romance the curious case of benjamin button Brad Pitt Jason Flemyng Julia Ormond David Fincher,the curious case of benjamin button
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,X-Men: First Class,Action Adventure Sci-Fi x-men: first class Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn,x-men: first class
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,The Hunger Games: Mockingjay - Part 2,Adventure Sci-Fi the hunger games: mockingjay - part 2 Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence,the hunger games: mockingjay - part 2
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,The Sorcerer's Apprentice,Action Adventure Family Fantasy the sorcerer's apprentice Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub,the sorcerer's apprentice
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,Poseidon,Action Adventure Drama Thriller poseidon Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen,poseidon
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,Alice Through The Looking Glass,Adventure Family Fantasy alice through the looking glass Johnny Depp Alan Rickman Anne Hathaway James Bobin,alice through the looking glass
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,Shrek The Third,Adventure Animation Comedy Family Fantasy shrek the third Justin Timberlake Eric Idle Rupert Everett Chris Miller,shrek the third
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,Warcraft,Action Adventure Fantasy warcraft Dominic Cooper Callum Rennie Ruth Negga Duncan Jones,warcraft
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,Terminator Genisys,Action Adventure Sci-Fi terminator genisys J.K. Simmons Emilia Clarke Matt Smith Alan Taylor,terminator genisys
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,The Chronicles Of Narnia: The Voyage Of The Dawn Treader,Adventure Family Fantasy the chronicles of narnia: the voyage of the dawn treader Bruce Spence Shane Rangi Laura Brent Michael Apted,the chronicles of narnia: the voyage of the dawn treader
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,Pearl Harbor,Action Drama History Romance War pearl harbor Jennifer Garner Jaime King Mako Michael Bay,pearl harbor
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,Transformers,Action Adventure Sci-Fi transformers Zack Ward Michael O'Neill Kevin Dunn Michael Bay,transformers
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,Alexander,Action Adventure Biography Drama History Romance War alexander Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone,alexander
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,Harry Potter And The Order Of The Phoenix,Adventure Family Fantasy Mystery harry potter and the order of the phoenix Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates,harry potter and the order of the phoenix
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,Harry Potter And The Goblet Of Fire,Adventure Family Fantasy Mystery harry potter and the goblet of fire Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell,harry potter and the goblet of fire
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,Hancock,Action Drama hancock Will Smith Charlize Theron Eddie Marsan Peter Berg,hancock
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,I Am Legend,Drama Horror Sci-Fi i am legend Will Smith Alice Braga Willow Smith Francis Lawrence,i am legend
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,Charlie And The Chocolate Factory,Adventure Comedy Family Fantasy charlie and the chocolate factory Johnny Depp Christopher Lee David Kelly Tim Burton,charlie and the chocolate factory
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,Ratatouille,Animation Comedy Family Fantasy ratatouille Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird,ratatouille
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,Batman Begins,Action Adventure batman begins Christian Bale Liam Neeson Morgan Freeman Christopher Nolan,batman begins
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,Madagascar: Escape 2 Africa,Action Adventure Animation Comedy Family madagascar: escape 2 africa Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell,madagascar: escape 2 africa
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,Night At The Museum: Battle Of The Smithsonian,Adventure Comedy Family Fantasy night at the museum: battle of the smithsonian Robin Williams Rami Malek Steve Coogan Shawn Levy,night at the museum: battle of the smithsonian
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,X-Men Origins: Wolverine,Action Adventure Fantasy Sci-Fi Thriller x-men origins: wolverine Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood,x-men origins: wolverine
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,The Matrix Revolutions,Action Sci-Fi the matrix revolutions Essie Davis Collin Chou Nona Gaye Lana Wachowski,the matrix revolutions
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,Frozen,Adventure Animation Comedy Family Fantasy Musical frozen Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck,frozen
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,The Matrix Reloaded,Action Sci-Fi the matrix reloaded Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski,the matrix reloaded
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,Thor: The Dark World,Action Adventure Fantasy thor: the dark world Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor,thor: the dark world
